Date,Home,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Draftkings Score
 6-24-2015,1,3,0.8571428571428571,22,22,1,0,0,377,106,45,10,43,129,0.226,3.22,2,8,5,1,520,0,49,0,3,11,4
 6-26-2015,1,3,1.375,29,29,1,0,0,509,163,86,25,40,157,0.252,4.56,1,4,9,1,706,0,92,4,5,8,20
 6-27-2015,1,3,0.6666666666666666,21,20,0,0,0,326,121,56,13,32,82,0.279,4.64,3,4,2,0,468,0,58,1,0,9,9
 6-28-2015,1,3,2.0,31,31,2,2,0,605,180,79,23,58,191,0.24,3.53,0,10,9,0,826,0,80,4,4,18,4
 6-29-2015,1,3,0.6,29,29,1,0,0,502,188,88,28,50,137,0.285,4.73,3,5,6,1,726,0,92,5,6,20,21
 6-30-2015,1,3,0.5454545454545454,17,17,0,0,0,282,99,53,13,33,63,0.269,5.07,0,5,7,0,413,0,54,3,2,7,6
 7- 1-2015,1,3,4.666666666666667,27,27,0,0,0,463,175,72,10,49,121,0.285,4.2,0,8,3,0,673,0,72,3,3,14,16
 7- 3-2015,0,3,0.6666666666666666,14,10,1,1,0,201,49,29,6,32,30,0.202,3.9,1,2,3,1,280,1,33,1,2,5,7
 7- 4-2015,0,3,1.5,17,15,0,0,0,259,99,47,10,36,72,0.285,4.9,2,3,3,0,392,1,48,1,5,7,6
 7- 5-2015,0,3,1.8888888888888888,33,33,2,1,0,614,211,106,26,42,142,0.266,4.66,2,5,11,0,861,0,114,2,11,14,9
 7- 7-2015,0,3,1.3333333333333333,20,20,0,0,0,345,120,54,11,42,98,0.268,4.23,2,6,3,0,502,0,56,7,2,9,25
 7- 8-2015,0,3,0.6,24,22,2,1,0,395,170,78,19,41,86,0.31,5.33,5,2,3,2,594,0,88,2,0,14,30
 7- 9-2015,0,3,2.0,31,31,2,2,0,605,180,79,23,58,191,0.24,3.53,0,10,9,0,826,0,80,4,4,18,3
 7-10-2015,0,3,0.6666666666666666,16,16,2,2,0,270,92,46,11,37,64,0.261,4.6,1,10,4,0,395,0,49,0,0,12,35
 7-11-2015,0,3,1.8,20,20,1,1,0,389,117,51,18,21,111,0.24,3.54,1,1,1,0,516,0,53,4,3,9,5
 7-12-2015,0,3,1.375,29,29,1,0,0,509,163,86,25,40,157,0.252,4.56,1,4,9,1,706,0,92,4,5,8,14
